customer_id,customer_name,dob,address,email,customer_since,batch_id,load_timestamp
CUST00052,Michelle Schmitt,2005-08-15,"9536 Rebecca Alley Apt. 070, South Johnbury, MS 07677",toddlopez@example.org,2023-10-11,batch_002,2026-08-02T00:00:00
CUST01519,Todd Bauer,1968-08-08,"16032 Brown Views Apt. 943, Stacieberg, NH 73483",rodney26@example.org,2018-11-23,batch_002,2026-08-02T00:00:00
CUST00564,Robert Thomas,2001-02-17,"2924 Cain Skyway, Zimmermanmouth, ID 71789",hayleylee@example.net,2020-06-03,batch_002,2026-08-02T00:00:00
CUST00502,Kristin Graham,1974-12-06,"7563 Patrick Fall, East Scotthaven, ID 01236",calebreynolds@example.net,2020-11-03,batch_002,2026-08-02T00:00:00
CUST00458,Eric Hays,1999-07-29,"311 Eric Crest Apt. 331, Johnsonhaven, NV 51712",gabrielfrey@example.net,2019-03-19,batch_002,2026-08-02T00:00:00
CUST00286,Robert Hines,1975-12-09,"138 Thompson Estates, West Carolyn, AK 50935",whitemichael@example.com,2026-04-13,batch_002,2026-08-02T00:00:00
CUST01509,Mary Barton,1950-09-27,"401 Evans Extension, Matthewburgh, HI 77867",joseskinner@example.org,2021-10-26,batch_002,2026-08-02T00:00:00
CUST00210,Edward Baker,1946-04-07,"Unit 4567 Box 0893, DPO AP 93068",rebeccaterry@example.com,2025-08-13,batch_002,2026-08-02T00:00:00
CUST01386,Joseph Williams,1975-11-27,"9466 Rebecca Radial Apt. 376, Scottmouth, NE 96793",ramirezregina@example.net,2024-04-07,batch_002,2026-08-02T00:00:00
CUST01517,Amber Smith,1970-08-24,"Unit 3374 Box 1535, DPO AP 95843",rebecca46@example.org,2021-05-20,batch_002,2026-08-02T00:00:00
CUST01828,Jonathan Mccoy,1978-06-18,"87895 Jessica Valley, West Johnton, OR 84257",williamsantos@example.com,2019-06-20,batch_002,2026-08-02T00:00:00
CUST01117,Laura Cox,1951-01-11,"759 Brown Squares Apt. 572, East Joyce, TX 25547",debbie45@example.org,2020-12-29,batch_002,2026-08-02T00:00:00
CUST00179,Emily Hayes,1983-09-27,"86186 Shaw Hills Suite 747, Garyville, KY 72290",dennis57@example.com,2017-10-07,batch_002,2026-08-02T00:00:00
CUST01210,Carol Baker,2006-09-12,"650 Duncan Shores Apt. 702, Loristad, AS 83750",patricia11@example.net,2019-12-01,batch_002,2026-08-02T00:00:00
CUST00865,Stephanie Martin,1983-07-20,"6241 Roberto Lodge Suite 680, Stephaniemouth, OK 53230",bryan79@example.net,2025-03-17,batch_002,2026-08-02T00:00:00
CUST00066,Russell Porter,1995-08-09,"36424 Wolf Stravenue, North Russell, KY 95720",donaldrussell@example.org,2024-05-10,batch_002,2026-08-02T00:00:00
CUST00062,Amanda Diaz,1996-08-19,"473 Kyle Valleys Suite 359, Murrayport, WI 50553",vanessa40@example.net,2019-05-25,batch_002,2026-08-02T00:00:00
CUST00192,Brian Jones,1959-05-07,"1524 Laura Cape, West Emmachester, ND 32935",harveypatricia@example.com,2019-07-23,batch_002,2026-08-02T00:00:00
CUST00448,Christopher Hill,1954-10-10,"225 Joan Trail, Hillmouth, LA 57914",robinsonmadison@example.net,2021-07-31,batch_002,2026-08-02T00:00:00
CUST00477,Ryan Atkinson,1959-03-17,"351 William Creek, East Jamesshire, MN 89763",cbrown@example.net,2020-12-16,batch_002,2026-08-02T00:00:00
CUST01035,Mary Hughes,1957-02-01,"377 Johnson Crossroad Apt. 864, East Kelli, AK 20366",kroberts@example.net,2021-09-06,batch_002,2026-08-02T00:00:00
CUST01233,Brittany Taylor,1964-05-31,"70781 Jessica Street, North Derekport, NC 01715",peter42@example.org,2024-02-27,batch_002,2026-08-02T00:00:00
CUST00055,Daniel Taylor,1942-02-06,"07622 Patel Forks Suite 160, Smithland, VI 41534",rodgerstimothy@example.net,2020-01-22,batch_002,2026-08-02T00:00:00
CUST01150,Brandy Ramirez,2001-08-05,"44910 Scott Square, Lake Charles, MP 38962",yvettecampbell@example.net,2026-06-08,batch_002,2026-08-02T00:00:00
CUST00408,Nicholas Richardson,1952-03-03,"PSC 1727, Box 2239, APO AA 96115",allenrosario@example.com,2024-03-02,batch_002,2026-08-02T00:00:00
CUST01467,Sheila Clayton,1989-07-02,"21070 Cohen Ford Apt. 055, East Christopherhaven, NY 60231",benjamin60@example.com,2021-08-13,batch_002,2026-08-02T00:00:00
CUST01331,Veronica Martinez,2005-11-11,"141 Boyd Key Apt. 560, Davidberg, NH 62646",rhoffman@example.com,2023-01-27,batch_002,2026-08-02T00:00:00
CUST01437,Laurie Fox,1982-05-30,"53861 Tami Crossing, North Rebeccachester, HI 95516",qmathis@example.org,2024-03-09,batch_002,2026-08-02T00:00:00
CUST00860,Kristen Martin,1989-11-17,"1061 Richmond Branch, Stephaniefort, HI 42129",jason07@example.org,2016-08-11,batch_002,2026-08-02T00:00:00
CUST00452,Tracie Wiley,1954-10-08,"20725 Amy Inlet, Lisaburgh, ME 03122",keith07@example.net,2023-01-03,batch_002,2026-08-02T00:00:00
CUST00920,Patrick Rice,1968-11-23,"096 Louis Forks Apt. 601, New Jillshire, IA 10249",raymondjanet@example.com,2017-06-12,batch_002,2026-08-02T00:00:00
CUST01207,Linda Williams,1995-09-20,"981 Mary Wall, Davidville, WY 77470",dorothybruce@example.net,2022-08-21,batch_002,2026-08-02T00:00:00
CUST00570,Chelsea Oliver,1967-02-01,"1295 Patricia Squares, New Eduardo, GU 58841",zacharywest@example.com,2017-10-05,batch_002,2026-08-02T00:00:00
CUST01658,Dr. Christopher Greer,1964-08-07,"949 Lauren Greens Apt. 450, South Ronald, SD 23269",tsanchez@example.com,2020-09-24,batch_002,2026-08-02T00:00:00
CUST01781,Jacqueline Hawkins,1965-08-05,"043 Matthew Brooks Suite 174, Lake Ryanview, NJ 63965",rlarsen@example.net,2019-08-04,batch_002,2026-08-02T00:00:00
CUST00014,Matthew Mcmillan,1997-03-08,"51292 Hernandez Groves, North Jill, NM 62202",waltersmaria@example.org,2026-01-06,batch_002,2026-08-02T00:00:00
CUST01555,Mitchell Flowers,1963-09-16,"64443 Kaitlyn Port Suite 914, East Hannah, VT 01478",owilliamson@example.net,2018-02-03,batch_002,2026-08-02T00:00:00
CUST01651,Thomas Cline,1991-08-20,"220 William Skyway Apt. 520, Dillonmouth, VI 51943",ggibson@example.org,2017-09-14,batch_002,2026-08-02T00:00:00
CUST00327,Samantha Ward,1963-11-21,"240 Cynthia Corner, East Julia, CT 47092",sbarajas@example.com,2025-05-14,batch_002,2026-08-02T00:00:00
CUST01430,Jill Cook,1975-06-26,"9106 Wilson Burgs, Adamsfort, AZ 60147",djohnston@example.net,2023-07-30,batch_002,2026-08-02T00:00:00
CUST00866,Aaron Casey,1968-07-20,"6162 Christopher Views, New Lisa, MD 96642",jamie98@example.net,2024-10-27,batch_002,2026-08-02T00:00:00
CUST00697,Timothy Dominguez,1970-01-16,"6086 Parsons Corners, New Josephbury, RI 04035",dominiquepowers@example.com,2017-11-19,batch_002,2026-08-02T00:00:00
CUST00319,Dwayne Lee,1972-02-02,"60863 Jeffery Prairie Suite 066, Dayfort, NE 01626",michael80@example.net,2024-01-01,batch_002,2026-08-02T00:00:00
CUST00441,Savannah Travis,1960-12-22,"PSC 4260, Box 8805, APO AP 02633",morgansandra@example.net,2016-11-18,batch_002,2026-08-02T00:00:00
CUST01961,Lynn Walker,1983-11-02,"69250 Michael Land, Reillyport, AS 10702",kimberly24@example.org,2023-01-17,batch_002,2026-08-02T00:00:00
