customer_id,customer_name,dob,address,email,customer_since,batch_id,load_timestamp
CUST02051,,1985-02-03,"600 Jeffery Parkways, New Jamesside, MT 29394",zlawrence@example.org,2018-06-22,batch_003_defects,2026-08-04T00:00:00
CUST02052,,1993-03-20,"USNV Garcia, FPO AA 13177",melanie94@example.org,2019-04-19,batch_003_defects,2026-08-04T00:00:00
CUST02053,,1991-03-28,"310 Kendra Common Apt. 164, Reidstad, GA 49021",jason41@example.net,2024-05-24,batch_003_defects,2026-08-04T00:00:00
CUST02054,,1984-10-15,"503 Linda Locks, Carlshire, FM 94599",jason76@example.net,2019-06-29,batch_003_defects,2026-08-04T00:00:00
CUST02055,,1972-10-20,"653 William Course Apt. 122, Carlsonfurt, MS 78605",jrice@example.org,2019-01-04,batch_003_defects,2026-08-04T00:00:00
CUST02056,,1987-11-15,"6270 Stanton Track, New Rita, VI 82460",meagan89@example.org,2018-07-12,batch_003_defects,2026-08-04T00:00:00
CUST02057,,1951-12-24,"570 Sarah Wells, Johnbury, FM 74865",millertodd@example.org,2022-12-10,batch_003_defects,2026-08-04T00:00:00
CUST02058,,2008-02-17,"963 Jennifer Locks Suite 787, East Jeffreymouth, AK 77611",briannasmith@example.net,2025-08-23,batch_003_defects,2026-08-04T00:00:00
CUST02059,,1984-07-11,"7382 Sanchez Mountains, Leeville, TN 56999",rodney70@example.net,2017-07-31,batch_003_defects,2026-08-04T00:00:00
CUST02060,,1986-01-17,"87262 Ford Well, South Lindseyside, CT 07131",novaksara@example.org,2018-04-03,batch_003_defects,2026-08-04T00:00:00
CUST02061,Mr. James Brown,,"7468 Moore Hill Apt. 098, Lake Leeton, OR 62994",brianromero@example.org,2023-06-30,batch_003_defects,2026-08-04T00:00:00
CUST02062,Cynthia Wilson,,"909 Robert Prairie, Sarahborough, TN 94373",john62@example.net,2017-09-26,batch_003_defects,2026-08-04T00:00:00
CUST02063,Timothy Walls,,"83842 Ibarra Gardens, Justinmouth, MP 71701",cheryl80@example.net,2021-09-07,batch_003_defects,2026-08-04T00:00:00
CUST02064,Matthew Mcmillan,,"82449 Jennifer Ford, Williamview, MH 07159",waltersmaria@example.org,2026-01-06,batch_003_defects,2026-08-04T00:00:00
CUST02065,Mandy Green,,"011 Amy Village Suite 982, Andersonport, MN 05730",jason31@example.com,2022-04-03,batch_003_defects,2026-08-04T00:00:00
CUST02066,Jennifer Oliver,,"26025 Pham Way, West Erik, UT 14669",ebrennan@example.org,2026-02-07,batch_003_defects,2026-08-04T00:00:00
CUST02067,Robert Savage,,"5414 May Locks, Sheilaville, FM 34738",beverlyterrell@example.org,2024-05-30,batch_003_defects,2026-08-04T00:00:00
CUST02068,Richard Graham,,"Unit 1693 Box 4060, DPO AP 71076",michaeljones@example.net,2023-12-22,batch_003_defects,2026-08-04T00:00:00
CUST02069,Mary Martinez,,"PSC 8465, Box 6482, APO AE 55609",lbyrd@example.net,2022-03-13,batch_003_defects,2026-08-04T00:00:00
CUST02070,Roy Torres,,"7738 Leon Underpass Apt. 148, Clarencebury, TX 41188",lindsayhernandez@example.org,2021-09-13,batch_003_defects,2026-08-04T00:00:00
CUST00458,Eric Hays,1999-07-29,"311 Eric Crest Apt. 331, Johnsonhaven, NV 51712",howekevin@example.com,2019-03-19,batch_003_defects,2026-08-04T00:00:00
CUST00286,Robert Hines,1975-12-09,"2801 Samantha Vista, Richardsonshire, HI 58128",whitemichael@example.com,2026-04-13,batch_003_defects,2026-08-04T00:00:00
CUST01509,Mary Barton,1950-09-27,"490 Danielle Centers Suite 381, Ramoshaven, OR 75659",joseskinner@example.org,2021-10-26,batch_003_defects,2026-08-04T00:00:00
CUST00210,Edward Baker,1946-04-07,"862 Christine Lakes, West Jennifer, TN 71143",rlee@example.com,2025-08-13,batch_003_defects,2026-08-04T00:00:00
CUST01386,Joseph Williams,1975-11-27,"9466 Rebecca Radial Apt. 376, Scottmouth, NE 96793",sandovalnicole@example.com,2024-04-07,batch_003_defects,2026-08-04T00:00:00
CUST01517,Amber Smith,1970-08-24,"4862 Diaz Lakes, South Steven, IN 74225",rebecca46@example.org,2021-05-20,batch_003_defects,2026-08-04T00:00:00
CUST01828,Jonathan Mccoy,1978-06-18,"621 Anna Shore, Francofurt, NH 69628",williamsantos@example.com,2019-06-20,batch_003_defects,2026-08-04T00:00:00
